index,name,prompt
106,Roots Dub Reggae,"Roots reggae and dub with deep round bass, spacious one-drop drums, skank guitar, organ bubble, tape echo, and conscious warmth."
107,Afrofusion Pop,"Contemporary Afrofusion with interlocking guitars, buoyant percussion, melodic bass, relaxed vocal pocket, and polished global-pop hooks."
108,Classic Afrobeat Orchestra,"Long-form classic Afrobeat with layered percussion, repeating guitar figures, horn conversations, elastic bass, and gradual ensemble escalation."
109,Outlaw Country Story,"Outlaw-country storytelling with acoustic rhythm, restrained electric guitar, upright or electric bass, plainspoken vocal authority, and dark road-worn detail."
110,Modern Southern Soul Country,"Modern country fused with southern soul: organ, blues guitar, live drums, warm bass, gritty vocal dynamics, and a large emotional chorus."
111,Cool Jazz Nocturne,"Cool jazz with spacious horn phrasing, brushed drums, upright bass, piano restraint, and a late-night conversational ensemble feel."
112,Modal Spiritual Jazz,"Modal jazz with searching improvisation, cyclical harmony, intense saxophone development, responsive rhythm section, and spiritual urgency."
113,Jazz-Funk Fusion,"Electric jazz-funk with syncopated clavinet or keys, elastic bass, crisp drums, horn or synth improvisation, and deep pocket."
114,Hybrid Minimal Film Score,"Minimal hybrid film score with repeating piano or synth motifs, restrained electronics, processed strings, and slowly accumulating emotional weight."
115,Spaghetti Western Score,"Spaghetti-western score with tremolo guitar, whistle or wordless voice, sparse percussion, dramatic brass, and wide desert atmosphere."
116,Ambient Soundscape,"Generative ambient soundscape with slow tonal evolution, soft harmonic drift, textural depth, and no conventional beat requirement."
117,Spoken Voice with Underscore,"Spoken voice only over a restrained underscore that stays behind the words; no sung melody, chorus, or vocal harmonies."
118,Unaccompanied Spoken Voice,"Completely unaccompanied spoken voice with no music and no singing; use silence, breath, pacing, and room tone as dramatic tools."
119,Indie Sleaze Revival,"Tight danceable indie rock with dry drums, clipped guitar riffs, elastic bass, and conversational cool."
120,New Wave of British Heavy Metal,"Classic British heavy metal with galloping bass, twin-guitar harmony, energetic drums, and soaring theatrical vocals."
121,80s Dance Pop,"Bright 1980s dance-pop with drum-machine snap, synthesizer hooks, active bass, and clean direct vocal production."
122,Modern Soul Ballad,"Modern voice-first soul ballad with piano-led restraint, rising live dynamics, and an emotionally decisive final chorus."
123,90s Power Ballad,"Polished 1990s power ballad with quiet piano verses, wide drums, supporting strings, and a high-impact vocal climax."
124,60s Soul Revival,"A modern recording shaped by 1960s soul: warm rhythm section, horn punctuation, vintage vocal space, and concise emotional writing."
125,Modern Radio Pop,"Contemporary radio pop with immediate melodic clarity, short transitions, polished low end, and a concise repeatable chorus."
126,Nu-Disco Revival,"Modern nu-disco with four-on-the-floor drums, bright rhythm guitar, melodic bass, glossy synths, and confident vocal hooks."
127,Retro Funk Revival,"Modern retro funk with tight live drums, clipped guitar, slap or synth bass, bright horns, and energetic showmanship."
128,90s Neo-Soul,"1990s neo-soul with Rhodes warmth, behind-the-beat drums, organic bass, jazz harmony, and intimate expressive vocal runs."
129,70s Soul,"1970s soul with live ensemble warmth, melodic bass, Rhodes or piano, restrained strings or horns, and emotionally layered vocals."
130,Gospel Soul,"Gospel-rooted soul with piano and organ drive, choir response, rhythmic handclaps, and a powerful testimony-centered lead."
131,90s East Coast,"1990s East Coast hip-hop with dusty drums, chopped jazz or soul samples, focused bass, dense verses, and minimal hook clutter."
132,Technical Battle Rap,"Technical battle rap with fast articulation, dense internal rhyme, character switches, and sharply controlled rhythmic changes."
133,Melodic Trap,"Melodic trap with sliding 808s, sparse minor-key harmony, elastic Auto-Tuned phrasing, and hypnotic hook repetition."
134,Psychedelic Trap,"Psychedelic trap with distorted synth atmosphere, huge low end, vocal effects, ad-lib space, and surreal wide transitions."
135,Rage Trap,"High-energy rage trap with distorted 808s, bright synthetic leads, repetitive vocal phrases, and clipped chaotic impact."
136,Southern Hip-Hop,"Southern hip-hop with heavy pocket, warm bass, regional funk influence, conversational swagger, and colorful vocal personality."
137,Big Beat Rave,"Late-1990s big-beat rave with distorted breakbeats, abrasive synth bass, punk attitude, and explosive vocal fragments."
138,Modern Radio Dance,"Contemporary pop-house with bright synth hooks, clean club drums, concise vocal sections, and a radio-ready drop."
139,Brostep,"Aggressive brostep with syncopated bass growls, sharp stop-start edits, cinematic impacts, and a high-contrast festival drop."
140,Modern Dancefloor DnB,"Modern dancefloor drum and bass with fast clean breaks, large Reese or sub bass, vocal lift, and festival-scale transitions."
141,Modern Reggaeton,"Contemporary reggaeton with dembow pulse, deep sub bass, sparse melodic color, relaxed sing-rap, and polished club detail."
142,90s Country Pop,"1990s country-pop with bright acoustic rhythm, clean electric guitar, fiddle or pedal steel color, and a large radio chorus."
143,Classic Nashville Country,"Classic Nashville country with acoustic guitar, fiddle, pedal steel, upright or electric bass, and direct story-first vocals."
144,Modern Indie Folk,"Modern indie folk with acoustic strumming, banjo or mandolin lift, stomp percussion, layered group vocals, and a rising final section."
145,60s Folk Revival,"1960s folk-revival intimacy with acoustic guitar, close vocal harmony, minimal percussion, and clear socially observant writing."
146,70s Funk,"1970s hard funk with interlocking guitar and clavinet, elastic bass, tight drums, horn stabs, and rhythmically sharp vocal calls."
147,Chicago Electric Blues,"Chicago electric blues with expressive lead guitar, Hammond organ, warm bass, shuffle or slow-pocket drums, and conversational vocals."
148,Modern Orchestral Adventure,"Modern orchestral adventure score with memorable themes, agile strings, bold brass, colorful woodwinds, and clear cinematic development."
