name,folder,reference,keywords,description,base_preset,genre,subgenre_era,mood,vocal_delivery,vocal_gender_type,instruments,production_style,bpm_tempo,song_structure,hook_style,themes,explicitness,aggression,darkness,rhyme_density,wordplay,storytelling,adlibs,song_length
Arctic Monkeys - Indie Rock Strut,Artist References / Rock & Alternative,Arctic Monkeys,arctic monkeys indie rock strut sheffield guitar,Tight indie-rock rhythm section with conversational swagger and sharp guitar detail.,Alternative Rock Catharsis,Indie Rock,Indie Sleaze Revival,Confident and Luxurious,Lazy Behind-the-Beat Flow,Warm Male Tenor,Electric Guitar Bass and Live Drums,Organic Live Room,,,,,,,,,,,,
Muse - Cinematic Progressive Rock,Artist References / Rock & Alternative,Muse,muse matt bellamy cinematic progressive rock falsetto,"Theatrical progressive rock with falsetto drama, synth scale, and heavy guitar dynamics.",Epic Trailer Last Stand,Progressive Rock,Psychedelic Progressive Rock,Cosmic and Awe-Struck,Operatic Lead,Male Falsetto Lead,Hybrid Orchestra and Taiko,Epic Trailer Hybrid,,,,,,,,,,,,
Queen - Theatrical Arena Rock,Artist References / Rock & Alternative,Queen,queen freddie mercury theatrical arena rock opera,Layered theatrical arena rock with operatic vocal scale and bold arrangement changes.,Epic Trailer Last Stand,Rock,Opera Rock,Heroic,Operatic Lead,Choir and Soloist,Grand Piano and String Quartet,Orchestral Concert Hall,,,,,,,,,,,,
Fleetwood Mac - 70s Harmony Rock,Artist References / Rock & Alternative,Fleetwood Mac,fleetwood mac 70s harmony rock soft rock,Warm 1970s band interplay with intertwined voices and emotionally detailed songwriting.,Acoustic Soul Storyteller,Rock,70s Singer-Songwriter,Bittersweet,Folk Harmony Lead,Mixed-Gender Duet,Acoustic Guitar Bass and Brushes,Classic Analog Hard Rock,,,,,,,,,,,,
Led Zeppelin - 70s Blues Hard Rock,Artist References / Rock & Alternative,Led Zeppelin,led zeppelin 70s blues hard rock guitar drums,Loose powerful blues hard rock with monumental drums and improvised vocal drama.,Classic Heavy Metal,Hard Rock,70s Blues Hard Rock,Defiant and Rebellious,Raspy Rock Belt,Warm Male Tenor,Electric Guitar Bass and Live Drums,Classic Analog Hard Rock,,,,,,,,,,,,
Pink Floyd - Psychedelic Progressive Rock,Artist References / Rock & Alternative,Pink Floyd,pink floyd psychedelic progressive rock space guitar,Patient psychedelic progressive rock with spacious guitar and cinematic development.,Cinematic Synthwave,Progressive Rock,Psychedelic Progressive Rock,Cosmic and Awe-Struck,Breathy Indie Singing,Warm Male Tenor,Clean Delay Guitar Bass and Drums,Ultra-Wide Atmospheric,,,,,,,,,,,,
ACDC - Straight-Ahead Hard Rock,Artist References / Rock & Alternative,AC/DC,acdc ac dc hard rock guitar riff straight ahead,Direct riff-first hard rock with locked bass and drums and a shouted singalong hook.,Classic Heavy Metal,Hard Rock,70s Blues Hard Rock,Defiant and Rebellious,Raspy Rock Belt,Raspy Male Lead,Electric Guitar Bass and Live Drums,Classic Analog Hard Rock,,,,,,,,,,,,
Guns N Roses - Sunset Strip Hard Rock,Artist References / Rock & Alternative,Guns N' Roses,guns n roses slash sunset strip hard rock,Dangerous melodic hard rock with swaggering riffs and dramatic guitar leads.,Classic Heavy Metal,Hard Rock,Sunset Strip Hard Rock,Defiant and Rebellious,Raspy Rock Belt,Raspy Male Lead,Electric Guitar Bass and Live Drums,Classic Analog Hard Rock,,,,,,,,,,,,
Metallica - Classic Thrash Metal,Artist References / Rock & Alternative,Metallica,metallica thrash metal downpicking heavy,"Fast precision thrash with palm-muted riffs, hard stops, and commanding barked rhythm.",Classic Heavy Metal,Metal,Classic Thrash Metal,Angry,Aggressive Rock Shout,Deep Male Lead,Drop-Tuned Guitars Bass and Double Kick,Modern Heavy Precision,,,,,,,,,,,,
Iron Maiden - Galloping Heavy Metal,Artist References / Rock & Alternative,Iron Maiden,iron maiden nwobhm gallop twin guitar metal,Galloping classic metal with twin-guitar melody and soaring theatrical vocals.,Classic Heavy Metal,Metal,New Wave of British Heavy Metal,Heroic,Operatic Lead,Warm Male Tenor,Metalcore Guitars and Double Kick,Classic Analog Hard Rock,,,,,,,,,,,,
Black Sabbath - Classic Doom Metal,Artist References / Rock & Alternative,Black Sabbath,black sabbath doom metal heavy riff ominous,Slow ominous doom with monolithic riffs and haunted classic-metal atmosphere.,Classic Heavy Metal,Metal,Classic Doom Metal,Eerie,Aggressive Rock Shout,Deep Male Lead,Drop-Tuned Guitars Bass and Double Kick,Classic Analog Hard Rock,,,,,,,,,,,,
Linkin Park - Nu Metal Rap Rock,Artist References / Rock & Alternative,Linkin Park,linkin park nu metal rap rock electronic,Rap verses and emotional shouted-clean hooks over down-tuned guitars and electronics.,Metalcore Breakdown,Metal,Nu Metal Rap Rock,Angry,Metalcore Scream and Clean,Male Rap and Female Hook,Down-Tuned Guitars Turntables and Drums,Modern Heavy Precision,,,,,,,,,,,,
Slipknot - Percussive Nu Metal,Artist References / Rock & Alternative,Slipknot,slipknot percussive nu metal chaotic heavy,Chaotic percussion-heavy nu metal with dense low-tuned riffs and explosive harsh voice.,Metalcore Breakdown,Metal,Nu Metal Rap Rock,Chaotic,Death Growls,Group / Crew Vocals,Drop-Tuned Guitars Bass and Double Kick,Modern Heavy Precision,,,,,,,,,,,,
Bring Me The Horizon - Modern Metalcore,Artist References / Rock & Alternative,Bring Me the Horizon,bring me the horizon bmth modern metalcore electronic,"Modern arena metalcore with electronic transitions, harsh verses, and a huge clean hook.",Metalcore Breakdown,Metal,Modern Arena Metalcore,Dark to Triumphant,Metalcore Scream and Clean,Warm Male Tenor,Drop-Tuned Guitars Bass and Double Kick,Modern Heavy Precision,,,,,,,,,,,,
Green Day - Pop Punk Anthem,Artist References / Rock & Alternative,Green Day,green day pop punk power chords anthem,Fast compact pop-punk with bright power chords and a nasal rebellious singalong.,Pop-Punk Summer,Punk,Pop Punk,Rebellious,Pop-Punk Snarl,Warm Male Tenor,Pop-Punk Guitars and Live Drums,Pop-Punk Radio Punch,,,,,,,,,,,,
Blink 182 - Bright Pop Punk,Artist References / Rock & Alternative,Blink-182,blink 182 pop punk youthful summer,Youthful fast pop-punk with clean punchy drums and playful melodic hooks.,Pop-Punk Summer,Punk,Pop Punk,Playful,Pop-Punk Snarl,Youthful Pop Ensemble,Pop-Punk Guitars and Live Drums,Pop-Punk Radio Punch,,,,,,,,,,,,
My Chemical Romance - Emo Theatrical Rock,Artist References / Rock & Alternative,My Chemical Romance,my chemical romance emo theatrical rock,Confessional theatrical emo rock with urgent guitars and a cathartic chorus.,Alternative Rock Catharsis,Alternative Rock,Emo Alternative Rock,Dark to Triumphant,Raspy Rock Belt,Warm Male Tenor,Electric Guitar Bass and Live Drums,Polished Arena Alternative,,,,,,,,,,,,
Paramore - Female Pop Punk,Artist References / Rock & Alternative,Paramore,paramore hayley williams female pop punk,Precision pop-punk with powerful female lead and sharp rhythmic guitar energy.,Pop-Punk Summer,Punk,Pop Punk,Defiant and Rebellious,Power Pop Belt,Powerful Female Lead,Pop-Punk Guitars and Live Drums,Pop-Punk Radio Punch,,,,,,,,,,,,
Smashing Pumpkins - Fuzzy Alternative Rock,Artist References / Rock & Alternative,The Smashing Pumpkins,smashing pumpkins fuzzy alternative rock 90s,Layered fuzz guitars and dreamy heaviness with vulnerable alternative-rock vocals.,Shoegaze Bloom,Alternative Rock,90s Arena Alternative,Dreamlike,Breathy Indie Singing,Warm Male Tenor,Fuzz Guitars Bass and Heavy Drums,Shoegaze Haze,,,,,,,,,,,,
Nine Inch Nails - Industrial Rock,Artist References / Rock & Alternative,Nine Inch Nails,nine inch nails nin industrial rock electronic,"Abrasive industrial rock with mechanical rhythm, distorted electronics, and intimate anger.",Industrial Dark Techno,Industrial,Industrial Future,Angry,Aggressive Rock Shout,Deep Male Lead,Industrial Machines,Industrial Master,,,,,,,,,,,,
Michael Jackson - Precision Pop Funk,Artist References / Pop R&B & Soul,Michael Jackson,michael jackson pop funk dance precision,"Precision dance-pop funk with clipped rhythm guitar, elastic bass, vocal accents, and immaculate hooks.",Bright Radio Pop,Pop,80s Dance Pop,Celebratory,Power Pop Belt,Warm Male Tenor,Horn Section Clavinet and Slap Bass,Massive Festival Master,,,,,,,,,,,,
Madonna - 80s Dance Pop,Artist References / Pop R&B & Soul,Madonna,madonna 80s dance pop club,"Confident 1980s dance-pop with drum-machine drive, bright synths, and a direct hook.",Bright Radio Pop,Pop,80s Dance Pop,Confident and Luxurious,Power Pop Belt,Female Alto Lead,Club Synths and Percussion,Polished Modern Pop,,,,,,,,,,,,
Prince - Minneapolis Funk Pop,Artist References / Pop R&B & Soul,Prince,prince minneapolis funk pop purple,"Tight adventurous funk-pop with clipped guitar, synth bass, drum-machine snap, and playful vocals.",P-Funk Mothership,Funk,Minneapolis Funk Pop,Seductive,Neo-Soul Runs,Male Falsetto Lead,Analog Synth Bass Guitar and Drum Machine,Classic Funk Live,,,,,,,,,,,,
Beyonce - Modern R&B Power,Artist References / Pop R&B & Soul,Beyonce,beyonce modern r&b pop powerful female,"Large modern R&B with rhythmic precision, powerful female dynamics, and layered chorus detail.",Contemporary R&B Night,R&B / Soul,Contemporary R&B,Confident and Luxurious,Powerful Soul Belt,Powerful Female Lead,Soul Band and Rhodes,Polished Modern Pop,,,,,,,,,,,,
Adele - Piano Soul Ballad,Artist References / Pop R&B & Soul,Adele,adele piano soul ballad powerful female,Voice-first piano soul ballad with restrained verses and a large emotional belt.,Acoustic Soul Storyteller,R&B / Soul,Modern Soul Ballad,Heartbroken,Powerful Soul Belt,Powerful Female Lead,Grand Piano and String Quartet,Organic Live Room,,,,,,,,,,,,
Whitney Houston - Big Vocal Pop Soul,Artist References / Pop R&B & Soul,Whitney Houston,whitney houston big vocal pop soul,"Polished pop-soul built around controlled range, rising belts, and a triumphant chorus.",Bright Radio Pop,R&B / Soul,90s Power Ballad,Hopeful,Powerful Soul Belt,Female Soprano Lead,Grand Piano and String Quartet,Polished Modern Pop,,,,,,,,,,,,
Amy Winehouse - Retro Soul Jazz,Artist References / Pop R&B & Soul,Amy Winehouse,amy winehouse retro soul jazz smoky,"Retro soul-jazz with conversational phrasing, horn warmth, and vintage-room intimacy.",Neo-Soul Velvet,R&B / Soul,60s Soul Revival,Melancholic and Intimate,Jazz Scat,Female Alto Lead,Soul Band and Rhodes,Vintage Soul Console,,,,,,,,,,,,
The Weeknd - Dark Synth R&B,Artist References / Pop R&B & Soul,The Weeknd,the weeknd dark synth r&b nocturnal,"Nocturnal synth R&B with falsetto intimacy, deep sub bass, and polished darkness.",Contemporary R&B Night,R&B / Soul,Alternative R&B Minimalism,Dark and Paranoid,Smooth R&B Croon,Male Falsetto Lead,Minimal Sub Bass Piano and Percussion,Minimal Whisper Pop,,,,,,,,,,,,
Billie Eilish - Minimal Whisper Pop,Artist References / Pop R&B & Soul,Billie Eilish,billie eilish whisper minimal pop dark,"Ultra-close whisper pop with tiny percussion, sub-bass pressure, and dramatic silence.",Ethereal Dream Pop,Pop,Alternative R&B Minimalism,Eerie,Soft ASMR Whisper,Breathy Female Whisper,Minimal Sub Bass Piano and Percussion,Minimal Whisper Pop,,,,,,,,,,,,
Taylor Swift - Narrative Modern Pop,Artist References / Pop R&B & Soul,Taylor Swift,taylor swift narrative pop songwriter,"Clear narrative pop with conversational detail, escalating sections, and a concise melodic chorus.",Bright Radio Pop,Pop,Modern Radio Pop,Bittersweet,Intimate Storytelling Vocal,Powerful Female Lead,Piano Bass Guitar and Live Drums,Polished Modern Pop,,,,,,,,,,,,
Dua Lipa - Disco Pop,Artist References / Pop R&B & Soul,Dua Lipa,dua lipa disco pop dance bass,"Modern disco-pop with confident low female lead, bright rhythm guitar, and locked dance groove.",Bright Radio Pop,Disco,Nu-Disco Revival,Celebratory,Power Pop Belt,Female Alto Lead,Horn Section Clavinet and Slap Bass,Polished Modern Pop,,,,,,,,,,,,
Bruno Mars - Retro Funk Pop,Artist References / Pop R&B & Soul,Bruno Mars,bruno mars retro funk pop soul,"Showman funk-pop with live-band pocket, bright horns, and a joyful high-impact hook.",P-Funk Mothership,Funk,Retro Funk Revival,Celebratory,Powerful Soul Belt,Warm Male Tenor,Horn Section Clavinet and Slap Bass,Classic Funk Live,,,,,,,,,,,,
Sade - Quiet Storm Soul,Artist References / Pop R&B & Soul,Sade,sade quiet storm smooth soul sophisticated,"Elegant quiet-storm soul with silky bass, restrained drums, and intimate unhurried voice.",Neo-Soul Velvet,R&B / Soul,Quiet Storm Soul,Romantic and Warm,Smooth R&B Croon,Female Alto Lead,Rhodes Bass and Neo-Soul Guitar,Vintage Soul Console,,,,,,,,,,,,
Erykah Badu - Neo-Soul Pocket,Artist References / Pop R&B & Soul,Erykah Badu,erykah badu neo soul pocket,"Loose behind-the-beat neo-soul with eccentric phrasing, Rhodes warmth, and deep pocket.",Neo-Soul Velvet,R&B / Soul,90s Neo-Soul,Warm and Intimate,Neo-Soul Runs,Female Alto Lead,Rhodes Bass and Neo-Soul Guitar,Neo-Soul Tape Warmth,,,,,,,,,,,,
DAngelo - Deep Neo-Soul Pocket,Artist References / Pop R&B & Soul,D'Angelo,dangelo d angelo neo soul pocket,"Deeply pocketed neo-soul with layered falsetto, warm keys, and deliberately loose microtiming.",Neo-Soul Velvet,R&B / Soul,90s Neo-Soul,Seductive,Neo-Soul Runs,Male Falsetto Lead,Rhodes Bass and Neo-Soul Guitar,Neo-Soul Tape Warmth,,,,,,,,,,,,
Marvin Gaye - 70s Soul,Artist References / Pop R&B & Soul,Marvin Gaye,marvin gaye 70s soul motown,Warm socially conscious 1970s soul with live ensemble depth and expressive layered vocals.,Acoustic Soul Storyteller,R&B / Soul,70s Soul,Spiritual,Powerful Soul Belt,Warm Male Tenor,Soul Band and Rhodes,Vintage Soul Console,,,,,,,,,,,,
Aretha Franklin - Gospel Soul,Artist References / Pop R&B & Soul,Aretha Franklin,aretha franklin gospel soul powerful,"Gospel-rooted soul with commanding female lead, piano drive, choir response, and emotional authority.",Gospel Redemption,Gospel,Gospel Soul,Spiritual,Gospel Call and Response,Powerful Female Lead,Gospel Organ Piano and Choir,Vintage Soul Console,,,,,,,,,,,,
Frank Ocean - Alternative R&B,Artist References / Pop R&B & Soul,Frank Ocean,frank ocean alternative r&b intimate,"Intimate alternative R&B with unusual structure, restrained production, and reflective storytelling.",Contemporary R&B Night,R&B / Soul,Alternative R&B Minimalism,Lonely,Intimate Storytelling Vocal,Warm Male Tenor,Minimal Sub Bass Piano and Percussion,Minimal Whisper Pop,,,,,,,,,,,,
Tupac - West Coast Story Rap,Artist References / Hip-Hop & Rap,Tupac,tupac 2pac west coast story rap,Direct emotionally charged West Coast storytelling over warm bass and clear drum pocket.,West Coast G-Funk Cruise,Hip-Hop / Rap,90s West Coast,Defiant and Rebellious,Conversational Rap,Deep Male Lead,G-Funk Leads and Live Bass,West Coast Analog Warmth,,,,,,,,,,,,
Notorious BIG - East Coast Luxury Flow,Artist References / Hip-Hop & Rap,The Notorious B.I.G.,biggie notorious big east coast luxury rap,Relaxed behind-the-beat East Coast flow with vivid detail and polished boom-bap weight.,Golden Era Boom Bap,Hip-Hop / Rap,90s East Coast,Confident and Luxurious,Lazy Behind-the-Beat Flow,Deep Male Lead,Boom Bap Drums and Jazz Samples,Dusty Boom Bap,,,,,,,,,,,,
Nas - Boom Bap Street Cinema,Artist References / Hip-Hop & Rap,Nas,nas illmatic boom bap street cinema,Dense observational boom-bap storytelling with precise imagery and jazz-sample atmosphere.,Golden Era Boom Bap,Hip-Hop / Rap,90s East Coast,Dark and Paranoid,Boom Bap Pocket,Deep Male Lead,Boom Bap Drums and Jazz Samples,Dusty Boom Bap,,,,,,,,,,,,
Eminem - Technical Story Rap,Artist References / Hip-Hop & Rap,Eminem,eminem technical rap multisyllabic story,"Fast technical narrative rap with character voices, internal rhyme, and sharp dynamic switches.",Heavy Rap / Trap / Drill,Hip-Hop / Rap,Technical Battle Rap,Angry,Fast Technical Flow,Raspy Male Lead,Sliding 808s and Sparse Piano,Hard Modern Trap Master,,,,,,,,,,,,
Kendrick Lamar - Jazz Rap Narrative,Artist References / Hip-Hop & Rap,Kendrick Lamar,kendrick lamar jazz rap narrative conscious,"Concept-driven jazz rap with voice changes, social detail, and cinematic narrative structure.",Golden Era Boom Bap,Hip-Hop / Rap,Jazz Rap,Dark to Triumphant,Fast Technical Flow,Warm Male Tenor,Boom Bap Drums and Jazz Samples,Dusty Boom Bap,,,,,,,,,,,,
Drake - Melodic Rap R&B,Artist References / Hip-Hop & Rap,Drake,drake melodic rap r&b nocturnal,Nocturnal melodic rap that moves between conversational verses and intimate sung hooks.,Contemporary R&B Night,Hip-Hop / Rap,Melodic Trap,Heartbroken,Melodic Auto-Tuned Rap,Warm Male Tenor,Sliding 808s and Sparse Piano,Polished Modern Pop,,,,,,,,,,,,
Travis Scott - Psychedelic Trap,Artist References / Hip-Hop & Rap,Travis Scott,travis scott psychedelic trap autotune,"Wide psychedelic trap with distorted atmosphere, elastic Auto-Tuned vocal layers, and huge low end.",Rage Pit,Hip-Hop / Rap,Psychedelic Trap,Cosmic and Awe-Struck,Melodic Auto-Tuned Rap,Synthetic AI Vocal,Rage Synths and Distorted 808s,Massive Festival Master,,,,,,,,,,,,
Future - Melodic Trap,Artist References / Hip-Hop & Rap,Future,future melodic trap autotune,"Dark melodic trap with slurred elastic cadence, deep 808 movement, and hypnotic repetition.",Heavy Rap / Trap / Drill,Hip-Hop / Rap,Melodic Trap,Dark and Paranoid,Melodic Auto-Tuned Rap,Deep Male Lead,Sliding 808s and Sparse Piano,Hard Modern Trap Master,,,,,,,,,,,,
Playboi Carti - Rage Trap,Artist References / Hip-Hop & Rap,Playboi Carti,playboi carti rage trap,Minimal repetitive rage vocals over distorted 808s and bright synthetic leads.,Rage Pit,Hip-Hop / Rap,Rage Trap,Chaotic,Rage Shouts,Youthful Speaker,Rage Synths and Distorted 808s,Rage Digital Clipping,,,,,,,,,,,,
Pop Smoke - Brooklyn Drill,Artist References / Hip-Hop & Rap,Pop Smoke,pop smoke brooklyn drill deep raspy,"Deep raspy Brooklyn drill with sliding bass, terse phrases, and imposing crew responses.",Brooklyn Drill Anthem,Hip-Hop / Rap,Brooklyn Drill,Menacing and Triumphant,Raspy Drill Cadence,Deep Male Lead,Drill Bass and Icy Bells,Hard Modern Trap Master,,,,,,,,,,,,
Central Cee - UK Drill,Artist References / Hip-Hop & Rap,Central Cee,central cee uk drill conversational,Clean conversational UK drill flow over cold sliding bass and sparse icy production.,UK Drill Pressure,Hip-Hop / Rap,UK Drill,Confident and Luxurious,Conversational Rap,Warm Male Tenor,Drill Bass and Icy Bells,Cold UK Drill Mix,,,,,,,,,,,,
Snoop Dogg - G-Funk Cruise,Artist References / Hip-Hop & Rap,Snoop Dogg,snoop dogg g funk west coast laid back,"Laid-back West Coast G-funk with elastic bass, portamento synth, and unhurried vocal pocket.",West Coast G-Funk Cruise,Hip-Hop / Rap,90s West Coast,Playful and Carefree,Lazy Behind-the-Beat Flow,Deep Male Lead,G-Funk Synths and Bass,West Coast Analog Warmth,,,,,,,,,,,,
Outkast - Southern Funk Rap,Artist References / Hip-Hop & Rap,Outkast,outkast southern funk rap experimental,"Colorful Southern funk rap with agile flows, live-instrument flavor, and playful structural turns.",P-Funk Mothership,Hip-Hop / Rap,Southern Hip-Hop,Playful,Fast Technical Flow,Dual Male / Female Leads,Horn Section Clavinet and Slap Bass,Classic Funk Live,,,,,,,,,,,,
Wu Tang Clan - Dusty Crew Boom Bap,Artist References / Hip-Hop & Rap,Wu-Tang Clan,wu tang clan crew boom bap dusty martial arts,"Raw crew boom-bap with dusty samples, contrasting voices, and sparse cinematic menace.",Golden Era Boom Bap,Hip-Hop / Rap,90s East Coast,Dark and Paranoid,Boom Bap Pocket,Group / Crew Vocals,Boom Bap Drums and Jazz Samples,Dusty Boom Bap,,,,,,,,,,,,
Daft Punk - French House Robot Funk,Artist References / Electronic & Dance,Daft Punk,daft punk french house robot funk,"Filtered disco-house with robotic vocal color, tight funk bass, and euphoric automation.",Deep House Sunset,House,French Touch House,Celebratory,Robotic Vocoder,Vocoder Ensemble,Filtered Disco Samples and House Drums,French Filter House,,,,,,,,,,,,
The Prodigy - Rave Breakbeat,Artist References / Electronic & Dance,The Prodigy,prodigy rave breakbeat big beat,"Aggressive rave breakbeats with distorted synths, punk energy, and explosive vocal callouts.",Cinematic Dubstep Drop,Electronic,Big Beat Rave,Chaotic,Rage Shouts,Group / Crew Vocals,Breakbeats Reese Bass and Rock Guitars,Massive Festival Master,,,,,,,,,,,,
Aphex Twin - IDM Glitch,Artist References / Electronic & Dance,Aphex Twin,aphex twin idm glitch experimental electronic,Intricate glitch rhythm and unusual synthesis with playful unsettling structural detail.,What Did I Generate,Electronic,IDM Glitch,Eerie,Instrumental Performance,Instrumental / No Lead Vocal,Modular Synths and Drum Machines,Experimental Glitch,,,,,,,,,,,,
Deadmau5 - Progressive House,Artist References / Electronic & Dance,deadmau5,deadmau5 progressive house,"Patient progressive house with long melodic development, clean synth design, and controlled club energy.",Melodic Techno Horizon,House,Progressive Festival House,Cosmic and Awe-Struck,Instrumental Performance,Instrumental / No Lead Vocal,Club Synths and Percussion,Progressive Festival Wide,,,,,,,,,,,,
Avicii - Melodic Festival House,Artist References / Electronic & Dance,Avicii,avicii melodic festival house folk edm,"Emotional festival house with acoustic melodic color, uplifting builds, and a broad singable drop.",Uplifting Trance Flight,House,Progressive Festival House,Euphoric and Uplifting,Power Pop Belt,Warm Male Tenor,House Piano Disco Bass and Claps,Progressive Festival Wide,,,,,,,,,,,,
Calvin Harris - Pop House,Artist References / Electronic & Dance,Calvin Harris,calvin harris pop house dance,"Clean radio-ready house with bright synth hooks, focused low end, and concise vocal structure.",Deep House Sunset,House,Modern Radio Dance,Euphoric,Power Pop Belt,Powerful Female Lead,Club Synths and Percussion,Massive Festival Master,,,,,,,,,,,,
Tiesto - Festival Trance,Artist References / Electronic & Dance,Tiësto,tiesto trance festival edm,"Large festival trance with supersaw lift, clean builds, and a dramatic euphoric release.",Uplifting Trance Flight,Trance,Uplifting Trance,Euphoric and Uplifting,Breathy Ethereal Singing,Androgynous Lead,Trance Supersaws and Arpeggios,Massive Festival Master,,,,,,,,,,,,
Armin van Buuren - Uplifting Trance,Artist References / Electronic & Dance,Armin van Buuren,armin van buuren uplifting trance,"Long-form uplifting trance with emotional breakdown, rising arpeggios, and expansive melodic payoff.",Uplifting Trance Flight,Trance,Uplifting Trance,Euphoric and Uplifting,Breathy Ethereal Singing,Breathy Female Lead,Trance Supersaws and Arpeggios,Progressive Festival Wide,,,,,,,,,,,,
Carl Cox - Warehouse Techno,Artist References / Electronic & Dance,Carl Cox,carl cox warehouse techno dj,Driving peak-time warehouse techno with relentless groove and hands-on filter movement.,Berlin Warehouse Techno,Techno,Peak-Time Warehouse Techno,Confident and Luxurious,Instrumental Performance,Instrumental / No Lead Vocal,Techno Kick Rumble and Sequencers,Berlin Warehouse Raw,,,,,,,,,,,,
Charlotte de Witte - Dark Techno,Artist References / Electronic & Dance,Charlotte de Witte,charlotte de witte dark techno acid,Cold peak-time techno with heavy kick-rumble pressure and hypnotic industrial sequencing.,Berlin Warehouse Techno,Techno,Peak-Time Warehouse Techno,Cold and Mechanical,Instrumental Performance,Instrumental / No Lead Vocal,Techno Kick Rumble and Sequencers,Berlin Warehouse Raw,,,,,,,,,,,,
