index,name,prompt
27,Dancehall Toasting,"Use Dancehall Toasting with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
28,Reggaeton Sing-Rap,"Use Reggaeton Sing-Rap with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
29,Afrobeat Melodic Phrasing,"Use Afrobeat Melodic Phrasing with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
30,Jazz Scat,"Use Jazz Scat with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
31,Country Storytelling Twang,"Use Country Storytelling Twang with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
32,Folk Harmony Lead,"Use Folk Harmony Lead with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
33,Spoken Word,"Use Spoken Word with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
34,Robotic Vocoder,"Use Robotic Vocoder with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
35,Choir-Only Performance,"Use Choir-Only Performance with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
36,Instrumental - No Vocals,"Use Instrumental - No Vocals with genre-appropriate articulation, breath, dynamics, rhythmic placement, and supporting layers."
37,Calm Spoken Narration,"Spoken voice only, never sung: calm measured narration with clear diction, natural pauses, steady breath, and reassuring low-intensity emphasis."
38,Angry Spoken Rant,"Spoken voice only, never sung: controlled anger that builds into clipped forceful phrases, hard consonants, tense breath, and confrontational emphasis."
39,Sad Confessional Monologue,"Spoken voice only, never sung: intimate grief with fragile pacing, occasional breaks in the voice, long reflective pauses, and restrained tears."
40,Intimate Seductive Whisper,"Spoken voice only, never sung: close-mic sensual whispering with slow breath, soft consonants, deliberate pauses, and confident intimate warmth."
41,Full-Volume Yelling Speech,"Spoken voice only, never sung: sustained urgent yelling with intelligible words, chest-driven projection, sharp pauses, and escalating intensity."
42,Soft ASMR Whisper,"Spoken voice only, never sung: extremely close gentle whisper, audible breath detail, slow careful articulation, and soothing micro-dynamics."
43,Horror Villain Whisper,"Spoken voice only, never sung: low ominous whisper with unsettling pauses, controlled breath, sudden emphasis, and predatory calm."
44,Heroic Trailer Voice,"Spoken voice only, never sung: deep cinematic announcement with deliberate pacing, monumental emphasis, clean diction, and dramatic rests."
45,Documentary Narration,"Spoken voice only, never sung: authoritative documentary delivery with neutral clarity, informative pacing, precise names, and subtle emotional guidance."
46,Motivational Speech,"Spoken voice only, never sung: inspiring speech that grows from personal warmth to confident rhythmic emphasis and a decisive final statement."
47,Comedic Deadpan,"Spoken voice only, never sung: dry understated delivery with exact comic pauses, restrained reactions, and unforced conversational timing."
48,Sarcastic Commentary,"Spoken voice only, never sung: pointed sarcastic delivery with skeptical pauses, ironic stress, controlled amusement, and crisp punchlines."
49,Grieving Eulogy,"Spoken voice only, never sung: respectful grief with slow breathing, sincere warmth, careful memories, and emotional composure that occasionally falters."
50,Gentle Meditation Guide,"Spoken voice only, never sung: soft grounding guidance with spacious pauses, low steady volume, breath cues, and an unhurried comforting tone."
51,Panicked Emergency Message,"Spoken voice only, never sung: breathless urgent speech with broken pacing, repeated critical details, rising fear, and intelligible desperation."
52,Neutral Newsreader,"Spoken voice only, never sung: professional broadcast diction, even pace, neutral authority, and clean separation between facts."
53,High-Energy Radio DJ,"Spoken voice only, never sung: charismatic fast radio delivery with punchy emphasis, playful hype, station-style callouts, and controlled breath."
54,Conversational Podcast Voice,"Spoken voice only, never sung: natural unscripted conversational delivery with small hesitations, warm reactions, and relaxed intelligibility."
55,Poetic Spoken Word,"Spoken voice only, never sung: expressive poetry with rhythmic but non-melodic phrasing, vivid pauses, dynamic emphasis, and clear verbal imagery."
56,Fire-and-Brimstone Sermon,"Spoken voice only, never sung: passionate sermon delivery with rolling cadence, call-and-response energy, moral urgency, and powerful crescendos."
57,Apocalyptic Broadcast,"Spoken voice only, never sung: damaged emergency-broadcast authority with ominous restraint, static-like pauses, repeated warnings, and fatalistic calm."
58,Broken Crying Speech,"Spoken voice only, never sung: speech interrupted by tears, shaky breath, incomplete phrases, whispered recoveries, and raw emotional honesty."
,Soft Intimate Whisper,"Perform with Soft Intimate Whisper, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Breath-Heavy Seductive Delivery,"Perform with Breath-Heavy Seductive Delivery, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Fragile Emotional Vocal,"Perform with Fragile Emotional Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Tearful Cracking Vocal,"Perform with Tearful Cracking Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Clean Controlled Pop,"Perform with Clean Controlled Pop, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Big Belted Pop Chorus,"Perform with Big Belted Pop Chorus, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Soulful Runs and Melisma,"Perform with Soulful Runs and Melisma, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Gospel-Style Power,"Perform with Gospel-Style Power, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Smoky Lounge Croon,"Perform with Smoky Lounge Croon, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Raspy Blues Delivery,"Perform with Raspy Blues Delivery, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Gritty Rock Shout,"Perform with Gritty Rock Shout, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Loose Grunge Phrasing,"Perform with Loose Grunge Phrasing, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Pop-Punk Snarl and Lift,"Perform with Pop-Punk Snarl and Lift, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Short Punk Bark,"Perform with Short Punk Bark, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Low Metal Growl,"Perform with Low Metal Growl, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,High Metal Scream,"Perform with High Metal Scream, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Clean Metal Chorus,"Perform with Clean Metal Chorus, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Operatic Metal Lead,"Perform with Operatic Metal Lead, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Emo Pleading Vocal,"Perform with Emo Pleading Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Indie Deadpan,"Perform with Indie Deadpan, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Dream-Pop Airy Vocal,"Perform with Dream-Pop Airy Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Shoegaze Buried Vocal,"Perform with Shoegaze Buried Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Theatrical Glam Vocal,"Perform with Theatrical Glam Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Cabaret Storytelling,"Perform with Cabaret Storytelling, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Spoken-Word Dramatic,"Perform with Spoken-Word Dramatic, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,ASMR Close Whisper,"Perform with ASMR Close Whisper, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Aggressive Rap Attack,"Perform with Aggressive Rap Attack, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Laid-Back Rap Pocket,"Perform with Laid-Back Rap Pocket, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Melodic Rap and Sung Hook,"Perform with Melodic Rap and Sung Hook, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Triplet Trap Flow,"Perform with Triplet Trap Flow, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Double-Time Rap Precision,"Perform with Double-Time Rap Precision, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Conversational Rap Storytelling,"Perform with Conversational Rap Storytelling, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Detailed Narrative Rap,"Perform with Detailed Narrative Rap, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Silky R&B Lead,"Perform with Silky R&B Lead, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Relaxed Neo-Soul Phrasing,"Perform with Relaxed Neo-Soul Phrasing, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Funky Rhythmic Vocal,"Perform with Funky Rhythmic Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Reggae Toasting,"Perform with Reggae Toasting, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Dance-Pop Club Vocal,"Perform with Dance-Pop Club Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Ethereal Layered Vocal,"Perform with Ethereal Layered Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Choir-Like Stacked Harmonies,"Perform with Choir-Like Stacked Harmonies, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Girl-Group Call and Response,"Perform with Girl-Group Call and Response, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Tight Synchronized Group Delivery,"Perform with Tight Synchronized Group Delivery, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Duet Trading Lines,"Perform with Duet Trading Lines, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Duet Harmonizing Together,"Perform with Duet Harmonizing Together, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Spoken-Sung Art Pop,"Perform with Spoken-Sung Art Pop, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Bright Musical-Theatre Belt,"Perform with Bright Musical-Theatre Belt, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Country Conversational Twang,"Perform with Country Conversational Twang, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Bluegrass High-Lonesome Lead,"Perform with Bluegrass High-Lonesome Lead, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Jazz Torch-Song Phrasing,"Perform with Jazz Torch-Song Phrasing, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Vocoder Lead with Human Doubles,"Perform with Vocoder Lead with Human Doubles, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
,Coldly Controlled Vocal,"Perform with Coldly Controlled Vocal, keeping articulation, breath, timing, dynamics and supporting layers musical and believable."
